DateVal,S,V,Delta,ImpliedVol,HE,Cumulative HE,PNL
2011-01-03,604.35,25.8,0.550633,0.261888,0,0,0
2011-01-04,602.12,25.1,0.535364,0.271615,-0.531444,-0.531444,-0.7
2011-01-05,609.07,28.75,0.581975,0.272915,-0.463973,-0.995417,2.95
2011-01-06,613.5,31.3,0.610998,0.276219,-0.439836,-1.43525,5.5
2011-01-07,616.44,31.95,0.634512,0.266371,0.702403,-0.732851,6.15
2011-01-10,614.21,30.8,0.618671,0.273867,0.433315,-0.299536,5
2011-01-11,616.01,30.9,0.635008,0.265679,1.44291,1.14337,5.1
2011-01-12,616.87,30.8,0.644058,0.262121,2.08503,3.2284,5
2011-01-13,616.69,30.2,0.645383,0.260551,2.56534,5.79374,4.4
2011-01-14,624.18,34.8,0.701013,0.259622,2.79549,8.58923,9
2011-01-18,639.63,48,0.770925,0.299039,0.421855,9.01109,22.2
2011-01-19,631.75,41.7,0.731783,0.299293,0.642378,9.65346,15.9
2011-01-20,626.77,37.75,0.705101,0.300192,0.943599,10.5971,11.95
2011-01-21,611.83,23.65,0.623952,0.243734,4.50507,15.1021,-2.15
2011-01-24,611.08,21.05,0.630579,0.217106,6.63332,21.7355,-4.75
2011-01-25,619.91,26.25,0.725396,0.209823,6.99736,28.7328,0.45
2011-01-26,616.5,23.85,0.692249,0.215954,6.91929,35.6521,-1.95
2011-01-27,616.79,23.05,0.708713,0.204381,7.9158,43.5679,-2.75
2011-01-28,600.99,14.85,0.523929,0.236995,4.91411,48.482,-10.95
2011-01-31,600.36,12.2,0.515991,0.205006,7.23122,55.7132,-13.6
